"Latest: Time (min)","Latest: Temperature (°C)"
115.6,46.3102579309
115.8,46.2826529805
116,46.2498878826
116.2,46.2257561205
116.4,46.1826867253
116.6,46.158580737
116.8,46.1258802155
117,46.0880376233
117.2,46.062248852
117.4,46.0227264857
117.6,45.9969643158
117.8,45.9746455691
118,45.9403243585
118.2,45.9145956154
118.4,45.8768789435
118.6,45.8494626621
118.8,45.813496674
119,45.7826848035
119.2,45.7604410201
119.4,45.7279447783
119.6,45.6971740638
119.8,45.6595854471
120,45.6305547571
120.2,45.6066569667
120.4,45.5742384333
120.6,45.545246192
120.8,45.51626697
121,45.4838938016
121.2,45.4600502511
121.4,45.4277051813
121.6,45.4038822935
121.8,45.3715652096
122,45.3375645783
122.2,45.3001843881
122.4,45.271314373
122.6,45.2526405794
122.8,45.2187018983
123,45.1898678616
123.2,45.1593515382
123.4,45.1271552657
123.6,45.0966680929
123.8,45.074658371
124,45.0408116289
124.2,45.0120555641
124.4,44.9833120296
124.6,44.9545809994
124.8,44.9309295216
125,44.8988445978
125.2,44.8718377571
125.4,44.8431550274
125.6,44.8111125057
125.8,44.7841412958
126,44.7521271626
126.2,44.723495959
126.4,44.6965601538
126.6,44.6645879738
126.8,44.6376758721
127,44.6040509329
127.2,44.5788432801
127.4,44.5452477785
127.6,44.5234196952
127.8,44.4881738792
128,44.4529464695
128.2,44.4328247669
128.4,44.4026534339
128.6,44.3741706261
128.8,44.350723179
129,44.3138935478
129.2,44.2921399623
129.4,44.2586864806
129.6,44.2319355171
129.8,44.2085370265
130,44.1801353467
130.2,44.1534151268
130.4,44.1283743895
130.6,44.0933327188
130.8,44.0616437581
131,44.0466382965
131.2,44.0116382739
131.4,43.9866491414
131.6,43.955009231
131.8,43.9283763341
132,43.9017536905
132.2,43.8734783437
132.4,43.8352418074
132.6,43.8169622101
132.8,43.792043231
133,43.7621522303
133.2,43.7322740472
133.4,43.700749839
133.6,43.6808471395
133.8,43.6576344794
134,43.6261438867
134.2,43.5946674312
134.4,43.5747948335
134.6,43.5400312997
134.8,43.516865146
135,43.4937066054
135.2,43.4622893106
135.4,43.4341909374
135.6,43.4061037202
135.8,43.3780276352
136,43.3516132328
136.2,43.3285086876
136.4,43.2938659393
136.6,43.2691314345
136.8,43.2444055077
137,43.2163931403
137.2,43.1867449475
137.4,43.1587551487
137.6,43.1373585585
137.8,43.1110330498
138,43.0830727631
138.2,43.0567671237
138.4,43.0321143095
138.6,42.999256994
138.8,42.9746238145
139,42.946716351
139.2,42.9204603251
139.4,42.8958539337
139.6,42.8663372692
139.8,42.8384714202
140,42.8204462603
140.2,42.7876846603
140.4,42.7582117913
140.6,42.7369332211
140.8,42.7091167328
141,42.6845815413
141.2,42.6518807126
141.4,42.6306329782
141.6,42.6077576657
141.8,42.5767239605
142,42.557130454
142.2,42.5261180329
142.4,42.5000123973
142.6,42.4788083457
142.8,42.4478287168
143,42.4217506349
143.2,42.3940526955
143.4,42.371250366
143.6,42.3468270399
143.8,42.322411707
144,42.2931238373
144.2,42.2654735968
144.4,42.239459161
144.6,42.2183290737
144.8,42.1874573279
145,42.1630938459
145.2,42.1338680673
145.4,42.1127676027
145.6,42.0803168574
145.8,42.0657185649
146,42.0365304221
146.2,42.0154570854
146.4,41.983047988
146.6,41.9619894836
146.8,41.9344602286
147,41.9166524799
147.2,41.881049446
147.4,41.8567841585
147.6,41.8309096636
147.8,41.8034275826
148,41.7808026693
148.2,41.7581844169
148.4,41.7355728134
148.6,41.7048962508
148.8,41.6806865273
149,41.6580976299
