Waverly Elementary/Middle School,3400 Ellerslie Ave, Baltimore, MD 21218,,
Wildwood Elementary/Middle School,621 Wildwood Pkwy, Baltimore, MD 21229,,
Alfred G. Waters Middle School,1235 Cedar Lane Rd, Middletown, DE 19709,,
Brandywine Springs Middle School,2916 Duncan Rd #2319, Wilmington, DE 19808,,
Cab Calloway School of the Arts,100 N Dupont Rd, Wilmington, DE 19805,,
Caravel Academy,2801 Del Laws Rd, Bear, DE 19701,,
Christ the Teacher Catholic School,2451 Frazer Rd, Newark, DE 19702,,
Conrad Schools of Science,201 Jackson Ave, Wilmington, DE 19804,,
Delmar Middle School,200 N 8th St, Delmar, DE 19940,,
Fred Fifer Middle School,109 E Camden Wyoming Ave, Camden, DE 19934,,
George Read Middle School,314 E Basin Rd, New Castle, DE 19720,,
Henry B. du Pont Middle School,735 Meeting House Rd, Hockessin, DE 19707,,
Las Americas ASPIRA Academy,326 Ruthar Dr, Newark, DE 19711,,
Middle School Honors Academy at Christiana High School,Christiana High School, 190 Salem Church Rd, Newark, DE 19713,
MOT Charter Middle School,1156 Levels Rd, Middletown, DE 19709,,
Newark Charter Junior High School,200 McIntire Dr, Newark, DE 19711,,
